"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 02 11:08:04 UTC 2026","Tue Jun 02 11:08:04 UTC 2026","343","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksAU","E2E: Проверка ссылок в футере Ссылка ""/how-we-work/"" → текст ""How we work""","Проверка текста ссылок в разделе About Us футера"
"passed","Tue Jun 02 11:08:19 UTC 2026","Tue Jun 02 11:08:25 UTC 2026","6174","","API: Проверка доступности страниц","","org.example.api.PageAvailabilityApiTest","shouldReturnNotFoundForRussianAboutUs","GET /ru/about-us/ → 404 Not Found","Проверка что русская версия About Us не существует"
"broken","Tue Jun 02 11:08:16 UTC 2026","Tue Jun 02 11:08:17 UTC 2026","999","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+390859396800"" → текст ""+39 085 93 96 800""","Проверка текста ссылок в разделе Contact Us футера"
"broken","Tue Jun 02 11:08:14 UTC 2026","Tue Jun 02 11:08:15 UTC 2026","1368","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+493052015880"" → текст ""+49 30 520 158 80""","Проверка текста ссылок в разделе Contact Us футера"
"passed","Tue Jun 02 11:08:19 UTC 2026","Tue Jun 02 11:08:25 UTC 2026","6043","","API: Проверка доступности страниц","","org.example.api.PageAvailabilityApiTest","shouldAccessMainPage","GET / → 200 OK","Проверка доступности главной страницы"
"passed","Tue Jun 02 11:08:09 UTC 2026","Tue Jun 02 11:08:10 UTC 2026","616","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+19172677727"" → текст ""+1 917 267 7727""","Проверка текста ссылок в разделе Contact Us футера"
"passed","Tue Jun 02 11:08:17 UTC 2026","Tue Jun 02 11:08:17 UTC 2026","734","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+46766920558"" → текст ""+46 766 920 558""","Проверка текста ссылок в разделе Contact Us футера"
"passed","Tue Jun 02 11:08:02 UTC 2026","Tue Jun 02 11:08:03 UTC 2026","639","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksAU","E2E: Проверка ссылок в футере Ссылка ""/about-us/"" → текст ""About us""","Проверка текста ссылок в разделе About Us футера"
"passed","Tue Jun 02 11:08:09 UTC 2026","Tue Jun 02 11:08:09 UTC 2026","497","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksAU","E2E: Проверка ссылок в футере Ссылка ""/cases/"" → текст ""Case studies""","Проверка текста ссылок в разделе About Us футера"
"passed","Tue Jun 02 11:07:44 UTC 2026","Tue Jun 02 11:08:07 UTC 2026","23726","","Smoke: Критические проверки","","org.example.ui.smoke.SmokeTests","shouldHaveClickableSearchIcon","Smoke: Иконка поиска кликабельна","Проверка доступности иконки поиска"
"broken","Tue Jun 02 11:08:06 UTC 2026","Tue Jun 02 11:08:08 UTC 2026","2308","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksAU","E2E: Проверка ссылок в футере Ссылка ""/technologies/"" → текст ""Technologies""","Проверка текста ссылок в разделе About Us футера"
"passed","Tue Jun 02 11:08:04 UTC 2026","Tue Jun 02 11:08:05 UTC 2026","791","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksAU","E2E: Проверка ссылок в футере Ссылка ""/careers/"" → текст ""Career""","Проверка текста ссылок в разделе About Us футера"
"passed","Tue Jun 02 11:08:15 UTC 2026","Tue Jun 02 11:08:16 UTC 2026","469","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+491782334175"" → текст ""+49 178 233 41 75""","Проверка текста ссылок в разделе Contact Us футера"
"passed","Tue Jun 02 11:08:08 UTC 2026","Tue Jun 02 11:08:09 UTC 2026","699","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksAU","E2E: Проверка ссылок в футере Ссылка ""/blog/"" → текст ""Blog""","Проверка текста ссылок в разделе About Us футера"
"passed","Tue Jun 02 11:08:12 UTC 2026","Tue Jun 02 11:08:13 UTC 2026","938","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+971585274499"" → текст ""+971 58 527 4499""","Проверка текста ссылок в разделе Contact Us футера"
"passed","Tue Jun 02 11:08:10 UTC 2026","Tue Jun 02 11:08:28 UTC 2026","17591","","E2E: Обработка ошибок AJAX через BrowserMob Proxy при поиске на странице","","org.example.ui.AjaxLoadMoreErrorTest","shouldHandleAjax400Error","E2E: Обработка 400 ошибки AJAX","Проверка, что при 400 ошибке AJAX результаты поиска не подгружаются"
"passed","Tue Jun 02 11:08:19 UTC 2026","Tue Jun 02 11:08:26 UTC 2026","7361","","API: Поиск по сайту","","org.example.api.SearchApiTests","shouldShowSearchPageWithEmptyQuery","GET /?s= → 200 OK, страница поиска без результатов","Проверка поведения при пустом поисковом запросе"
"passed","Tue Jun 02 11:08:19 UTC 2026","Tue Jun 02 11:08:25 UTC 2026","6153","","API: Проверка доступности страниц","","org.example.api.PageAvailabilityApiTest","shouldAccessAboutUsInEnglish","GET /about-us/ → 200 OK","Проверка доступности страницы About Us на английском"
"passed","Tue Jun 02 11:07:44 UTC 2026","Tue Jun 02 11:07:59 UTC 2026","15158","","Smoke: Критические проверки","","org.example.ui.smoke.SmokeTests","shouldLoadMainPage","Smoke: Главная страница загружается","Проверка доступности главной страницы"
"broken","Tue Jun 02 11:08:18 UTC 2026","Tue Jun 02 11:08:18 UTC 2026","706","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+48787027706"" → текст ""+48 787 027 706""","Проверка текста ссылок в разделе Contact Us футера"
"broken","Tue Jun 02 11:08:13 UTC 2026","Tue Jun 02 11:08:14 UTC 2026","1196","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+447860340279"" → текст ""+44 7860 340 279""","Проверка текста ссылок в разделе Contact Us футера"
"broken","Tue Jun 02 11:08:10 UTC 2026","Tue Jun 02 11:08:12 UTC 2026","1683","","E2E: Проверка футера","","org.example.ui.CheckFooterLinksTest","shouldDisplayCorrectFooterLinksCU","E2E: Проверка ссылок в футере Ссылка ""tel:+17722327337"" → текст ""+1 772 232 7337""","Проверка текста ссылок в разделе Contact Us футера"
"passed","Tue Jun 02 11:08:19 UTC 2026","Tue Jun 02 11:08:26 UTC 2026","7371","","API: Поиск по сайту","","org.example.api.SearchApiTests","shouldReturnSearchResultsForValidKeyword","GET /?s=test → 200 OK, результаты найдены","Проверка поиска по ключевому слову 'test'"
"passed","Tue Jun 02 11:07:43 UTC 2026","Tue Jun 02 11:08:20 UTC 2026","37188","","E2E: Поиск по сайту","","org.example.ui.e2e.SearchE2ETest","shouldFindResultsForValidSearchQuery","E2E: Успешный поиск с валидным запросом","Полный сценарий поиска от главной страницы до результатов"
"passed","Tue Jun 02 11:07:44 UTC 2026","Tue Jun 02 11:08:18 UTC 2026","34749","","Smoke: Критические проверки","","org.example.ui.smoke.SmokeTests","shouldPerformQuickSearch","Smoke: Быстрый поиск работает","Smoke проверка поиска"
